order_id,date,customer_id,customer_age,customer_city,product_id,product_category,product_price,quantity,total_price,payment_method
24c05029-399b-4b34-bc3a-d4825744157f,2024-07-25,4b66e2cd-a075-43dd-a3d6-f3f80236d558,42,da Rocha Grande,18,Roupas,56.53,2,113.06,Boleto
bce52e5d-409b-43e2-80cc-214946d71e30,2024-05-02,32195421-19c9-4aa3-8584-a6a9ffa13278,38,Duarte da Serra,40,Livros,427.83,4,1711.32,Cartão de Débito
17c3a0be-3a5a-4d81-a586-b9c52af98b49,2024-12-29,aeea52c6-a63c-4d6f-a899-b00dfcd88116,21,Ferreira das Flores,24,Esportes,495.6,4,1982.4,Cartão de Crédito
15fc52ec-0b4a-49dc-a0ab-af780ba78814,2024-03-12,b8cbd67f-d568-4644-ba99-d2752f21def8,49,Silva dos Dourados,31,Eletrônicos,35.3,2,70.6,Pix
58cb79bc-34ee-41d8-9022-e0318ddf4950,2025-01-16,77588258-88fc-487c-8b99-8eb116f98702,34,Santos de Santos,47,Esportes,132.19,3,396.57,Cartão de Débito
7a68027d-5a96-4a9e-b3c6-496ab7b437f3,2024-12-28,6a2bb892-4bb9-42a6-a73a-8b2df79922f0,30,Ribeiro,32,Livros,214.06,2,428.12,Pix
97f514c5-d7c2-47b4-a035-9f9ac1a0f63e,2024-06-08,199bc0c6-ef65-4a70-9543-6660f8ffbee9,58,Araújo,24,Esportes,495.6,1,495.6,Transferência Bancária
d2b5e83c-aedb-45f7-aa2c-21a84ee69849,2024-09-21,f83ae3c4-2310-413f-9483-583f702b7b14,50,Novaes,39,Roupas,275.85,5,1379.25,Pix
bbed07dc-7ae1-42c3-aa07-b4c9fc510859,2024-05-18,9a5edb54-370d-4eab-962a-90ab1f3b15cc,42,da Rosa,9,Roupas,486.11,3,1458.33,Boleto
5dc27459-9f6a-4a2a-b1a9-bb70ba6f9089,2024-03-21,da67964d-debc-462d-a8d4-42b4674a8599,54,Ramos de Barros,48,Beleza,103.8,4,415.2,Boleto
e162038c-83ba-4b5c-880e-87d0e37cf017,2024-08-14,49286c3a-13f1-465b-98e0-4933d1a488aa,33,das Neves das Flores,6,Livros,372.96,3,1118.88,Transferência Bancária
77b2dbb3-18fb-4cb7-a9c3-242bef8305b3,2024-05-30,fadc3f01-1ac5-4a48-ba30-071f35144767,61,Fernandes,19,Roupas,214.44,4,857.76,Boleto
1e0778ef-ad79-4b9b-902b-accc4955c1a5,2024-06-02,4ca440ae-9fef-435f-84e5-a3cd7ef0400a,64,Pereira,32,Livros,214.06,3,642.18,Boleto
588ed6bd-586c-46c3-ae56-b3c370015aa0,2025-01-17,c546128e-b471-4f2c-9914-b65f150a3bcd,59,Oliveira,25,Beleza,349.23,1,349.23,Cartão de Débito
dcdaab4e-d2b8-49f3-af30-8e1f88cb2f3f,2024-05-16,6659667b-2dd4-4db1-a3fa-5117710208e2,32,Viana do Sul,47,Esportes,132.19,2,264.38,Pix
c414d9e5-65ae-4d28-a423-6a6f6d50968b,2024-04-03,ada13912-5723-45b2-a4c3-2bd61d86da98,48,da Conceição,46,Beleza,135.55,3,406.65,Pix
b49da0ae-2973-44e1-8ca2-c660de572748,2024-10-14,d6745986-1b79-408c-8c73-d4ea6929c141,57,Teixeira das Pedras,26,Roupas,24.28,1,24.28,Pix
02c69bc5-0d27-426e-ae86-3cf820038ead,2024-06-30,59d34309-956b-4e85-8b7b-3c47c27f9fc5,61,Dias,33,Roupas,203.62,1,203.62,Cartão de Débito
0e8f7e8e-20f1-4901-9c0a-c63a9f3fa24b,2025-01-22,e7436d5f-66a6-4b9c-b93e-d359a57f1a81,47,Vieira,42,Esportes,156.52,5,782.6,Transferência Bancária
a83bae49-ace5-41b0-832f-72b9dbb36d52,2024-12-07,41fb9308-9a5e-4bad-a579-91bf5d41b286,24,Campos,6,Livros,372.96,2,745.92,Transferência Bancária
15e64498-736f-4ad9-9650-bad8536d0737,2024-10-06,4dc43846-838d-4994-bb54-18a562ef8fa0,63,Campos,13,Alimentos,12.53,4,50.12,Cartão de Débito
0f777c2d-07ab-4a07-a054-426ec32ea535,2024-10-04,e1876464-cc18-4a3a-a64d-cf44a3c4eb76,18,Nunes do Galho,34,Beleza,192.75,5,963.75,Boleto
24d5570f-51ab-4809-ad78-12910e942a80,2024-09-10,3794b3fd-a5b4-41f7-8428-890e451a742c,25,Gonçalves da Mata,22,Eletrônicos,22.63,5,113.15,Cartão de Crédito
1c1998b3-5e20-4432-a1ff-3967a3188117,2024-05-18,58403b84-53f1-438d-aa5c-f01523600393,33,Sales de Aragão,5,Beleza,16.78,3,50.34,Pix
aded17f3-2f0e-4f4c-80a3-9909be4c0104,2024-07-19,6557408b-955a-4105-ba63-4455fb15515d,28,da Mata,17,Beleza,223.41,5,1117.05,Pix
2cd01bb7-265f-43bd-b0cb-3c8c77e17ffb,2024-07-11,a3932780-510c-4d39-af1b-e9de0f9b8814,41,Carvalho,34,Beleza,192.75,4,771.0,Transferência Bancária
b968cc00-653d-42a7-8120-173a2baacb9c,2024-06-22,c49d1417-e756-4939-aed3-a2a5b158b9ca,59,Lima da Prata,18,Roupas,56.53,1,56.53,Boleto
